,npv,project_irr,equity_irr,min_dscr,breaches
count,10000.0,9541.0,9541.0,10000.0,10000.0
mean,2385.720478413693,0.15298588924521178,0.20555938474179136,0.8708158241054859,3.53
std,1878.3482763338416,0.026374626924211626,0.04541988790659988,0.10413887969529305,1.519648292564207
min,-2864.510710083043,0.06710293801534135,0.04747628599661769,0.5231389978197938,1.0
25%,1110.1148932544356,0.13481295940737256,0.17461263269924532,0.7954913549960254,3.0
50%,2219.178351084849,0.15269343789213966,0.2057941386001403,0.872450370752393,3.0
75%,3478.4076391805893,0.1710915084830049,0.2377793119863782,0.9567262158677401,4.0
max,13257.574183994684,0.24455766379605845,0.35113942883908744,1.0220331530580837,14.0
